,Equal Weight,Risk Parity,Maximum Diversification,Minimum Variance,Maximum Decorrelation
2005-11-24,0.004349783546890515,0.002986575150511414,0.0018542909811332664,-0.0017225546831730778,0.0027855143011870785
2005-11-25,0.0008375108309067903,0.0011449315242950595,0.0006877455140475394,0.003196204031426321,0.0007019673287258941
2005-11-28,-0.01705620963804193,-0.01708260268594377,-0.01651969103116753,-0.016333237462072662,-0.016856810818562336
2005-11-29,0.00852231883582194,0.007358642568327884,0.004880806921754315,0.005380251237819295,0.004887489752988675
2005-11-30,0.010536966008310385,0.011018855948087866,0.012531481190062917,0.014621143628416735,0.011919685653369694
2005-12-01,0.018546962112200423,0.016769194570550566,0.01114146482781252,0.0122862075437924,0.011255707120951048
2005-12-02,0.003922883735322993,0.008384341029561598,0.016946419823501493,0.020527773731958965,0.015468203575365935
2005-12-05,-0.004944783426190361,-0.0048706768482643555,-0.00660537742116531,-0.006860599294196697,-0.006112719873440846
2005-12-06,0.017762019999605683,0.014604304417406361,0.008565976393992262,0.00841927694550006,0.009264048348198481
2005-12-07,-0.01664617685983886,-0.01654761337267366,-0.016828697325154615,-0.017032393710003646,-0.016643335102927308
2005-12-08,-0.01285284768471097,-0.012089114405562306,-0.00938112875330015,-0.011644330084042337,-0.009211655125864148
2005-12-09,0.00998973039820815,0.009715932838841571,0.011484472079242124,0.0104204022311735,0.011791499518139186
2005-12-12,0.0031231033025435053,0.0028179028779692352,0.0030401490226651708,0.0018617716416514263,0.0037430792931964166
2005-12-13,0.011474753357402914,0.011427404936207641,0.012393792889845004,0.012755393177396292,0.012214281551904838
2005-12-14,0.008449986593298842,0.011313121289732306,0.01804769339325506,0.018813717135545683,0.016961205780392983
2005-12-15,-0.006786544060440759,-0.0027731964278088065,0.0065023510378099305,0.008349290589789792,0.005348750135092789
2005-12-16,0.010109288205794632,0.011890833958235841,0.017063464497653388,0.019018401717300966,0.015613294596628951
2005-12-19,-0.009460940407173254,-0.00921484155279112,-0.007113913804667939,-0.008665154850300354,-0.00670456104621788
2005-12-20,0.004629864153560182,0.006149618555824327,0.008798663148422344,0.011103481974012017,0.007299449698348311
2005-12-21,0.015128635421331117,0.013790379216174415,0.010003714510825587,0.013661434862826088,0.009019987222963398
2005-12-22,0.0030035295261733866,0.001803559526783589,-0.0012813690061688422,-0.0020188555597216284,-0.0005949500545473099
2005-12-23,-0.006168062224583373,-0.007247244157403732,-0.009667036372474508,-0.01141524581732487,-0.008903210996826364
2005-12-26,-0.0014068559309230186,-0.0014567784507944683,-0.00224937897052223,-0.0030607163629697383,-0.0022686708432216813
2005-12-27,0.002611895926560701,0.0026846106992464624,0.004211862313022421,0.0044073143558501435,0.003964990636939378
2005-12-28,-0.0065096972751057065,-0.004318428762314686,-0.001979537180256766,0.0014255888628570495,-0.0028490836337606556
2005-12-29,0.008515899237027854,0.00605457389050389,0.000834349714599501,2.7125182943668266e-05,0.001377246053897923
2006-01-02,-0.006451563385272724,-0.00718118257086258,-0.012149235727132512,-0.009717289079073503,-0.012145642588343435
2006-01-03,0.03220582781949875,0.03124354864408567,0.02977497382281845,0.027873991478457726,0.030189372028938843
2006-01-04,0.01587106564166401,0.015602384203553393,0.013004824494385267,0.01296923470201262,0.013244326469199963
2006-01-05,-0.004272124457221654,-0.0036259105167305537,7.328426814770701e-05,-0.0035845472145183653,0.0009615045442426581
2006-01-06,0.013841199678592991,0.013966102676966017,0.013095343922036692,0.012303068119886337,0.014332873078261338
2006-01-09,0.0013588834992402392,0.002427176837256864,0.0068064644233028085,0.005519148251018898,0.0070121857015027515
2006-01-10,-0.0069912234341304195,-0.005394064496200686,-0.0032679163639615563,-0.001721603494412409,-0.0036636770232607503
2006-01-11,0.02588342670338625,0.023887509292323233,0.01765463082764198,0.01905142741395898,0.017673601821792246
2006-01-12,0.00140957050069154,0.003969437330836556,0.007767074119457727,0.009475280026296395,0.006407797400286072
2006-01-13,0.01082349249481137,0.012052254544678509,0.017609736483031234,0.01598107462283645,0.01821917811142373
2006-01-16,0.02529948211009141,0.02926308090582904,0.04069897896955996,0.03894132578988315,0.039887238583394616
2006-01-17,-0.0072039477022822805,-0.00758371362347549,-0.003974865232703923,-0.00802799413998215,-0.0024855366319986596
2006-01-18,-0.010076181447344937,-0.009131908612401422,-0.00783327984061136,-0.007270534127273156,-0.007846584874854864
2006-01-19,0.034872680153916966,0.035017857547283156,0.034474651509219835,0.03287891910990765,0.03439528059280185
2006-01-20,-0.006855627499134334,-0.008385065114826382,-0.014434640150187087,-0.011998957132382424,-0.014250289149610617
2006-01-23,-0.004421146939496316,-0.003942683017019515,-0.004273578057407974,-0.001653604251879063,-0.005260514858868234
2006-01-24,0.020832815847576437,0.017794034420093294,0.006323987902284433,0.008510830430519915,0.006636955110370877
2006-01-26,0.01717093137007905,0.013609595276088338,0.002426292440998047,0.0015730795816684112,0.002905298426295726
2006-01-27,-0.005761617099574341,-0.006054425562113117,-0.008026597467593755,-0.005459722675275729,-0.009133771137640204
2006-01-30,0.012247859616201269,0.010423452022855032,0.003707151511931214,0.006302026937581051,0.003339999258465579
2006-01-31,0.0020671011020722448,0.00265352621139251,0.0025479452043509153,0.003231639929191602,0.0034690030605646024
2006-02-01,0.010377453356513848,0.01264046645373789,0.021239044845126866,0.022879978674941553,0.019676808329850116
2006-02-02,-0.03203991891966894,-0.027951457964585993,-0.015023375593820946,-0.019869309680078807,-0.01449103275875065
2006-02-03,0.0024079987203884682,0.002479359845781753,0.005369271196754738,0.003126429414286375,0.005507875788476016
2006-02-06,0.0011885033844706888,0.0015207711669533127,-0.0019870665559189047,9.649420889195422e-05,-0.002483350121967993
2006-02-07,-0.022515416309843158,-0.02105335005959965,-0.012300711163005105,-0.014347350433482233,-0.012175088675557194
2006-02-08,-0.0049912752592547955,-0.0061262678349450605,-0.007748921096136765,-0.008186206008501616,-0.007914979638985513
2006-02-09,0.010717749063786782,0.011261143453552117,0.011276725585878802,0.015466794697084486,0.010174537055294426
2006-02-10,0.010093138088876137,0.0064979014906719436,3.447428744848889e-05,-0.0029613252949758522,0.0013571187547262728
2006-02-13,-0.020693063371895845,-0.01706349179884275,-0.008179734093161447,-0.004568588823845085,-0.008998213824602058
2006-02-14,0.009095025594816843,0.005444680066391259,-0.0029786104030744154,-0.006544886868738612,-0.00232768566021938
2006-02-15,0.017078551373156656,0.013150715692814901,0.0043797898725438916,0.0006157698983357521,0.005572562154707243
2006-02-16,0.02270554918361115,0.018605013640602013,0.004969890714150472,0.006099192439366551,0.005348393559402855
2006-02-17,0.0041195953850719875,0.0035423192273610024,0.00137781850347545,0.003997200913333172,0.0010885771679412064
2006-02-20,0.006722774783015891,0.006313638195818759,0.006036720410043163,0.009347987043710699,0.0055658209396329044
2006-02-21,-0.011718944318544814,-0.010660121663546497,-0.008265266528306659,-0.010938702134509974,-0.008081581641076498
2006-02-22,0.0031920040999358513,0.003079189879465068,0.0045054778493955104,0.006000396738965293,0.0035569260574324843
2006-02-23,0.0009088715366465136,0.0015369558275221606,0.003813416205514961,0.004732435363545355,0.003503327856786589
2006-02-24,0.006905736062633958,0.010264090962433699,0.017411663357380095,0.01843732145263644,0.017210429437315218
2006-03-01,0.01826732764177664,0.017427512186701653,0.018290801418163707,0.01902817679481571,0.01828356911407132
2006-03-02,-0.00071064337024148,-0.001014097133041647,-0.00277341901201287,-0.0008432996460741879,-0.003358482476685288
2006-03-03,0.0026846150533539827,0.0027476473854804143,0.003920627885956193,0.002412550009169599,0.004276826486746568
2006-03-06,-0.019592688106260556,-0.014119400235426556,-0.0031643098905258992,-0.0013195614395029457,-0.004889222685289277
2006-03-07,-0.02419208492665329,-0.02267549805818766,-0.014461187035899083,-0.01806951576246174,-0.012944013348151893
2006-03-08,-0.0048126333444319025,-0.005480753257589862,-0.004823963786850357,-0.006522671071595866,-0.004492697041895567
2006-03-09,-0.020016081926763955,-0.018493184356352846,-0.012958223410452859,-0.014720102702494612,-0.01283155100242011
2006-03-10,0.017553851821995616,0.02045009063626055,0.025915604858454965,0.029551463342609764,0.024209394030524002
2006-03-13,-0.0023640090275026554,-0.0030929425612595267,-0.007571565108808687,-0.00595603369375872,-0.007847049233930842
2006-03-14,0.01781798673587823,0.01353316660313626,0.001327890953121096,0.0025431782844543747,0.0019123636564513271
2006-03-15,0.016605579459444627,0.016838276787877263,0.016606536882623993,0.01682579745022788,0.015769443747054954
2006-03-16,0.0005810558345617672,0.0013961253428741776,0.0006639502785423237,0.002462975776144828,0.00022519727889371726
2006-03-17,0.0036644719698350984,0.004628437687079276,0.007890877669030197,0.009069902128898865,0.007201810213106664
2006-03-20,0.004296712802367788,0.004047749365193585,0.0023698296073779088,0.002889141942346017,0.002574595821623948
2006-03-21,-0.01873506625050398,-0.018485348819230342,-0.01833443584132348,-0.018590776423796605,-0.018462967049743945
2006-03-22,0.01543279665106967,0.015028485095864836,0.015603555483001253,0.014804987093906602,0.01626347733931008
