,Equal Weight,Minimum Variance,Risk Parity,Maximum Diversification,Maximum Decorrelation
2005-12-05,-0.0020364384996803177,-0.0011220963217439637,-0.001358106732898992,-0.0007238674151332522,-0.0011385746448199009
2005-12-06,0.005216008384128132,-0.0008632872635246595,0.0019189023644626362,0.0014886177929002366,0.0037419426179995806
2005-12-07,-0.012930454764145161,-0.0027193585384488518,-0.007775093301281169,-0.0027193573729971596,-0.004456529230294705
2005-12-08,0.004329503544963084,0.013683959651165109,0.009496950904449556,0.011959876849787826,0.008798927700820035
2005-12-09,0.016612975438543585,0.018657988230303114,0.017841484706926303,0.018753173060775435,0.017950428617304556
2005-12-12,0.006439212485603586,0.008550740272106937,0.007666051626168234,0.007701734937051115,0.006746708161351988
2005-12-13,0.002817859094892705,-0.004129267817224666,-0.00127917781224805,-0.003592224160301358,-0.001096307001271867
2005-12-14,0.0023553924792137607,-0.0002645635368463564,0.0005029397592706919,-0.0016289771965786333,-0.0006283787310484954
2005-12-15,-0.004353482878414953,0.0012813275733324122,-0.0013203587597923985,-0.0005858080497424354,-0.0025448049298416884
2005-12-16,0.008186111145673509,0.011744198254974038,0.010084992727713188,0.010553913545342585,0.009360193472455825
2005-12-19,0.0004305760121300319,0.009690785331408084,0.005317726832822464,0.007945534339832392,0.00538284958277783
2005-12-20,-0.006798296713052869,-0.01667786717670014,-0.012226569036371778,-0.016225495883586908,-0.013564121861795505
2005-12-21,0.005118927727181357,-0.004237245638546026,0.00038793833729156815,-0.0018031463021416,0.0006990688288503218
2005-12-22,0.00508051120202298,0.011278351575305339,0.008380642183023623,0.010453952393751175,0.0088759453224661
2005-12-23,0.0012469242135728247,0.0012142172677714477,0.0014919176186973793,0.0003222623320786919,-0.0005983206033439942
2005-12-27,0.00155444390399692,0.006927499142790021,0.004465683766758708,0.008038336393164282,0.007088499021569246
2005-12-28,0.0011740904868271307,0.0047864481787361175,0.0034162427995352257,0.004127265256909082,0.002510664752356848
2005-12-29,0.003160831811895993,-0.002240813583222407,0.0004193476705972497,-0.00025012175756973433,0.001318505861823211
2006-01-03,0.03331128629122986,0.02813979434181744,0.03116513200124837,0.029620750147615477,0.03020528045296808
2006-01-04,0.0023360058712212795,-0.0066688885574807495,-0.0024323188224298856,-0.004464816999860677,-0.0016341072192108989
2006-01-05,-0.009704988661329034,-0.015531021248332917,-0.0130938517245758,-0.015355304197948753,-0.013361983173698248
2006-01-06,0.019795422380049898,0.018025297127436193,0.01961551370802327,0.019264386500046755,0.01902450449663604
2006-01-09,-0.0005590384491388011,-0.0022160985921344336,-0.0008107903312864693,-0.0009191346881096705,-0.0010961742338305247
2006-01-10,-0.0065140530739841215,-0.004452675447086024,-0.005812228762872605,-0.006459792593256378,-0.0068958550845261285
2006-01-11,0.0162343092087208,0.012155972156447972,0.01412326979774238,0.014286959852465074,0.01596069169382081
2006-01-12,5.341314344298935e-05,-0.0013571260900477325,-0.0003265507012106124,-0.0019358728229477375,-0.0023033451259544422
2006-01-13,0.0061166749291955425,0.0073037448432014315,0.007241362862247186,0.008945608296018138,0.00849103388523891
2006-01-17,0.0022166326320207127,0.00464772531757209,0.0031013467287935538,0.004772345782250016,0.0049597552008329914
2006-01-18,-0.00265072375140824,0.002618923091515536,-0.0002466273883727774,0.0003371799102382798,-0.001113443923291782
2006-01-19,0.02660236881636814,0.014354301161379231,0.021408027139925793,0.017594968198744617,0.01948325579560149
2006-01-20,-0.02347389943011147,-0.026331599919453916,-0.025338335577526953,-0.022307155177434698,-0.019583837136120476
2006-01-23,0.003194957782804487,-0.0003728370388435817,0.002001910068419588,0.00024052716533912155,8.29668771972284e-05
2006-01-24,0.009894428633937384,5.3038971449278634e-05,0.00496627831902281,0.002209765687135187,0.0047992767573425184
2006-01-26,0.012093459977386603,0.005777076301832536,0.009015064223313381,0.006802877698038054,0.008079324232449966
2006-01-27,-0.009030337577450425,-0.006723556578794198,-0.008523473276376916,-0.008077376823551674,-0.007895401230363735
2006-01-30,0.010499184023769939,0.007955800477033738,0.009794415406331608,0.010208750344017707,0.01067559890558118
2006-01-31,0.004502839425878791,4.7807693260095474e-05,0.0027166891939557907,0.0009105154683509295,0.0014383789242249946
2006-02-01,0.0013021047291048723,0.005244374597992362,0.0028337185937927704,0.004305433571651635,0.003947150113043893
2006-02-02,-0.019124679064384167,-0.010950670151043852,-0.014497617104657724,-0.011309609300911804,-0.013795074470858612
2006-02-03,-0.006385041991977042,-0.006637127187150962,-0.006802649168838583,-0.005834996678095557,-0.0052621902585101
2006-02-06,-0.0003483210594172404,-0.007683727180469031,-0.0037006182576090076,-0.006860769336214307,-0.005638118271889844
2006-02-07,-0.027536147858201698,-0.02275439114547623,-0.02640112298808927,-0.025206499211341004,-0.025075920883860188
2006-02-08,0.005926249252995952,0.007717423483729984,0.006716160859844035,0.005954166359417966,0.004884788414063345
2006-02-09,0.003985504979708023,0.0033372705058472302,0.004207244369088254,0.007711613976754817,0.008611916985374377
2006-02-10,-0.010486695224355436,-0.01358425522475361,-0.013042652228476547,-0.01464724084986074,-0.0130556101184333
2006-02-13,-0.015620496363219992,-0.011154529599186174,-0.013912851765668078,-0.015290986527987448,-0.016721580342568605
2006-02-14,0.008249584165481766,0.005745540458378272,0.006945388725947596,0.0077033317080253075,0.008590340141763983
2006-02-15,0.005720824371472491,-0.0006899152286785266,0.0021336008758264966,-0.0003996503834154627,0.001381976042695441
2006-02-16,0.019596266160497346,0.007642711508784878,0.014536216446436842,0.01099351348386485,0.013147580350232667
2006-02-17,0.002530850822423321,0.002709324014609024,0.0028453475279090626,0.004324465094887041,0.004551949643056564
2006-02-21,-0.002134742209869528,0.002526587487196814,0.00028299542829107553,0.0016557803282504242,0.000718384480775319
2006-02-22,0.009395813994276438,0.010720921523391056,0.010032592661826495,0.009470514745141729,0.008498447454829137
2006-02-23,-0.004054575514613575,-0.008201525146411603,-0.006416177121892522,-0.007891443676958558,-0.006612653079919049
2006-02-24,0.008229020033052979,0.008303697839800513,0.00883770772036341,0.009788545540732265,0.009558464085088416
2006-03-01,0.005490503010459291,-9.971307084810009e-05,0.0030295721647433525,0.0030976042357455913,0.004729587051036158
2006-03-02,0.000998596014595347,0.001387492679345676,0.0015065614221711017,0.002583350003064794,0.0023340439736023507
2006-03-03,-0.00158447823661425,-0.0030812666370157,-0.002456021506155815,-0.00271078089517535,-0.0020760858097844765
2006-03-06,-0.018636267605032075,-0.009858516708192962,-0.015151419130815618,-0.013508349588646992,-0.014990778587377511
2006-03-07,-0.006728682574249765,0.005987284809990467,-0.0009467100402626804,0.0015085210616819387,-0.0018590530002719986
2006-03-08,-0.005454826217470727,-0.002404303434086964,-0.004826086079289568,-0.005043654812470426,-0.005286661038548605
2006-03-09,-0.020740378738095474,-0.013703723217038445,-0.017241445020823736,-0.0139578265350436,-0.015296464329699715
2006-03-10,0.006719873058616212,-0.0002667485934933427,0.0029164330264814875,-9.608603501929183e-05,0.0015446722774201031
2006-03-13,0.0003626711613299093,-0.00011454841476002758,0.0006148117364467885,9.042961511179646e-05,-0.00010666687253947885
2006-03-14,0.01647743996243337,0.010068374877906482,0.013673741225306941,0.01139511408770532,0.012431825825400892
2006-03-15,0.012337092190853128,0.006103255301087629,0.009487467277006263,0.00784154306991291,0.009114502157065385
2006-03-16,-0.0035661285271719107,-0.003670492937793905,-0.003503375139379541,-0.003284121227667871,-0.0031129671114721743
2006-03-17,-0.0012123629178474094,0.0027706999496996476,0.0003636563516505103,0.001392750465306118,0.0007703299385098275
2006-03-20,0.007170469596400012,0.0075884001734669426,0.007538134573895258,0.007388161251646168,0.007051328188387572
2006-03-21,-0.012153189232554155,-0.002882703148998449,-0.007899895253654945,-0.005428671973306819,-0.007311696889986639
2006-03-22,0.007520500872270029,0.004094391415353832,0.005554124732490522,0.0042645432503379535,0.004983688723413803
2006-03-23,-0.007785414675680734,-0.0052612727048706506,-0.006517304381228894,-0.0058030096600348935,-0.00626719003771796
2006-03-24,0.010167627122654396,0.010224952975776512,0.0110092917466467,0.011534538857975306,0.010957784072410501
2006-03-27,0.004311342322388111,0.009061041211717708,0.006861363865647907,0.009910268893246312,0.009298834928490728
2006-03-28,-0.009386338991735856,0.003845451492008146,-0.003124768790532938,-0.00031792573126741824,-0.0033400291296273284
2006-03-29,0.020166456351181004,0.012945788919200058,0.01739493038403413,0.015771576119935064,0.016801158945750513
2006-03-30,0.0028510495420754033,-0.0011571451841721834,0.0019325075934242511,0.003912898465313144,0.005104734931549723
2006-03-31,-0.007075834537958488,-0.009080354582093737,-0.008777246162074115,-0.008194956572162753,-0.006907216672685077
2006-04-03,0.012237790108803714,0.00018194808373881853,0.007197603927103312,0.0037993940456452924,0.005914128712946246
2006-04-04,-0.00516865267145548,-0.005762244819195515,-0.005935217606997347,-0.005847957598601734,-0.005127290785025924
2006-04-05,0.008102196207402474,0.006630076045931231,0.007638179097749239,0.006864180603383104,0.006873693525441221
2006-04-06,0.004893012012097594,0.0022368534317152014,0.004109827787007924,0.004329917675065982,0.00482983903080921
2006-04-07,-0.009154317393053038,-0.0064737443598056246,-0.008025631113185801,-0.007076434661937762,-0.007366579060317277
2006-04-10,-7.356394535366708e-05,0.0063903890059723075,0.003571440261348553,0.005987517767619686,0.004304086546691514
2006-04-11,-0.014155266775776219,-0.014134646142644319,-0.014214907062681472,-0.014412561685551844,-0.014521457266485018
2006-04-12,0.003540907197591423,0.00289473731480251,0.0029429146616806573,0.0053271080829657945,0.006527360376744183
2006-04-13,-0.0009158829177019054,0.0005983573183701744,0.00020051326940990916,-0.0004428339185497909,-0.001389266324444156
2006-04-17,0.010308835007898993,0.005600823049878271,0.009456600507989563,0.009988402758132363,0.010910564439216936
2006-04-18,0.02414806882037321,0.0164381529710485,0.020610917970606914,0.017499175246665576,0.018701639556054934
2006-04-19,0.00980636095242457,0.005175259218810545,0.009084405311110554,0.009728275079621818,0.010646777514709679
2006-04-20,-0.00865077721937193,-0.007414201202207653,-0.01012691814019042,-0.013661422321568943,-0.014110090025498744
2006-04-24,0.00029333714272507786,-0.0003375448788942605,0.0005419021840743346,0.0015331765282315076,0.0017279627271337662
2006-04-25,0.0026840176498540034,0.0038679637518856127,0.00426983022691269,0.006476609968785067,0.006431255821081804
2006-04-26,0.011763832675782846,0.007107729153089142,0.010042694085413249,0.010463583855190806,0.011693214577038234
2006-04-27,-0.014010534915675879,-0.007411906364441437,-0.011840003024539438,-0.010799621241797128,-0.012025300894171162
2006-04-28,0.009998768275127011,0.004517500804005299,0.0086014908441892,0.010382163560308797,0.012011046758835367
2006-05-02,0.012097210703535083,0.002799068939243811,0.009104702282680354,0.007703649715775275,0.009503127971232577
2006-05-03,-0.0026212106805695843,-0.0032680788996543243,-0.0028075297712042042,-0.0028052206439660426,-0.002669748437933862
2006-05-04,0.0038196004547985606,0.004362134042727356,0.0046468985728296795,0.005610316234819371,0.005503641601268113
2006-05-05,0.010873429995646543,0.006254861035249933,0.008987647820081178,0.006526092221149662,0.0069886203668387496
2006-05-08,0.0020698375922310205,0.0009110307031310383,0.0014369332085617723,0.0002841239320439951,0.0003562436724050433
2006-05-09,0.012655380084714226,0.010660098522896223,0.013023592491242937,0.014912185937433372,0.01545951754751037
2006-05-10,-0.0039930411729865185,-0.001407088758386041,-0.002445688818758743,-0.0003806083177869839,-0.00062540060582249
2006-05-11,-0.007555175800053755,0.0011497751114661204,-0.0023384078419160575,0.0010162784627773074,-0.0010023181408464438
2006-05-12,-0.0025573251315261394,0.0047478429494674165,0.0016595117836214974,0.004021415730065986,0.0021468299536405114
2006-05-15,-0.01653827947849821,-0.0013783729828386261,-0.012278843021375411,-0.0122159235087022,-0.01552424900346232
2006-05-16,-0.0033042825387493914,-0.009363046894963438,-0.0055478503019618635,-0.005481729186842891,-0.003567428712276344
2006-05-17,-0.015036196708867985,-0.005100983372433592,-0.009591962146575102,-0.0061808344782007035,-0.007983838026723125
2006-05-18,-0.0133987174477967,-0.007743701678359904,-0.011442607572833611,-0.00894553164748263,-0.009595393940105484
2006-05-19,-0.0007141073792663922,0.0016024452095187373,-0.0010619687161277337,-0.0032769558604398346,-0.004879572157847505
2006-05-22,-0.0011650711115276258,0.017588366747124613,0.008512322821698018,0.012340821704242784,0.007666717689689651
2006-05-23,-0.012936450444422586,-0.013259608838113111,-0.01205371236659541,-0.009914918803935318,-0.008805883310542967
2006-05-24,0.015090958088935603,0.03109446583120885,0.02122794679339671,0.021111132264899673,0.015785469576092562
2006-05-25,0.019981462352175305,0.0037005390551334066,0.011438165432349325,0.008394724727566666,0.012527525575633029
2006-05-26,0.004097035312248633,-0.0091007775654945,-0.0024220451506388376,-0.00484113657247213,-0.0013205776264640368
2006-05-30,-0.02107633794533437,-0.003940873152582728,-0.011265912455074816,-0.007800127783323642,-0.012350144688379255
2006-05-31,-0.004252898132156322,-0.0027210508710243052,-0.0050202374843900084,-0.0051950628710182726,-0.005519855743332599
2006-06-01,0.008927191880563424,-0.0002214772640570297,0.0024673949866406216,-0.0010905849697824275,0.0007354378404719247
